time,portsrc,portdest,bl,d,f,o,r,rb,t,tb,w
21:45:47.675,8888,58552,0,0,0,0,2012217344,131072,0,2626560,0
21:45:47.675,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.675,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.675,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.675,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.695,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.695,8888,58552,0,0,0,0,2002780160,131072,0,2626560,0
21:45:47.695,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.695,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.695,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.695,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.715,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.715,8888,58552,0,0,0,0,1992294400,131072,0,2626560,0
21:45:47.715,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.715,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.715,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.715,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.735,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.735,8888,58552,0,0,0,0,1982857216,131072,0,2626560,0
21:45:47.735,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.735,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.735,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.735,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.755,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.755,8888,58552,0,0,0,0,1973420032,131072,0,2626560,0
21:45:47.755,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.755,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.755,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.755,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.775,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.775,8888,58552,0,0,0,0,1962934272,131072,0,2626560,0
21:45:47.775,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.775,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.775,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.775,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.795,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.795,8888,58552,0,0,0,0,1953497088,131072,0,2626560,0
21:45:47.795,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.795,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.795,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.795,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.815,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.815,8888,58552,0,0,0,0,1944059904,131072,0,2626560,0
21:45:47.815,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.815,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.815,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.815,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.835,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.835,8888,58552,0,0,0,0,1934557184,131072,0,2626560,0
21:45:47.835,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.835,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.835,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.835,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.855,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.855,8888,58552,0,0,0,0,1924136960,131072,0,2626560,0
21:45:47.855,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.855,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.855,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.855,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.875,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.875,8888,58552,0,0,0,0,1914699776,131072,0,2626560,0
21:45:47.875,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.875,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.875,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.875,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.895,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.895,8888,58552,0,0,0,0,1905262592,131072,0,2626560,0
21:45:47.895,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.895,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.895,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.895,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.915,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.915,8888,58552,0,0,0,0,1894776832,131072,0,2626560,0
21:45:47.915,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.915,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.915,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.915,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.936,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.936,8888,58552,0,0,0,0,1885339648,131072,0,2626560,0
21:45:47.936,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.936,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.936,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.936,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.956,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.956,8888,58552,0,0,0,0,1875902464,131072,0,2626560,0
21:45:47.956,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.956,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.956,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.956,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.975,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.975,8888,58552,0,0,0,0,1866465280,131072,0,2626560,0
21:45:47.975,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.975,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.975,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.975,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.995,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:47.995,8888,58552,0,0,0,0,1855979520,131072,0,2626560,0
21:45:47.995,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:47.995,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:47.995,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:47.995,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.015,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.015,8888,58552,0,0,0,0,1846542336,131072,0,2626560,0
21:45:48.015,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.015,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.015,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.015,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.035,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.035,8888,58552,0,0,0,0,1837105152,131072,0,2626560,0
21:45:48.035,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.035,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.035,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.035,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.056,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.056,8888,58552,0,0,0,0,1826619392,131072,0,2626560,0
21:45:48.056,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.056,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.056,5555,34362,0,0,0,0,0,131072,0,2626560,0
