time,KB
20:50:19.442,49490704
20:50:19.444,49500752
20:50:19.446,49510192
20:50:19.448,49518832
20:50:19.451,49526992
20:50:19.453,49537800
20:50:19.455,49545892
20:50:19.457,49557092
20:50:19.459,49565724
20:50:19.462,49574844
20:50:19.464,49580072
20:50:19.466,49590216
20:50:19.468,49599816
20:50:19.471,49610184
20:50:19.473,49619904
20:50:19.475,49629568
20:50:19.477,49640632
20:50:19.480,49649976
20:50:19.482,49658772
20:50:19.484,49669236
20:50:19.487,49680116
20:50:19.489,49686292
20:50:19.491,49696036
20:50:19.493,49707588
20:50:19.496,49714884
20:50:19.498,49723908
20:50:19.500,49735164
20:50:19.502,49743092
20:50:19.504,49751540
20:50:19.507,49762412
20:50:19.509,49769548
20:50:19.511,49780484
20:50:19.513,49789156
20:50:19.515,49798684
20:50:19.518,49808252
20:50:19.520,49816540
20:50:19.522,49825948
20:50:19.524,49837888
20:50:19.527,49846048
20:50:19.529,49855392
20:50:19.531,49864484
20:50:19.533,49873636
20:50:19.536,49882412
20:50:19.538,49895044
20:50:19.540,49903044
20:50:19.542,49914108
20:50:19.545,49924220
20:50:19.547,49932956
20:50:19.549,49941408
20:50:19.551,49953112
20:50:19.553,49962136
20:50:19.555,49970520
20:50:19.558,49980308
20:50:19.560,49990508
20:50:19.562,50000652
20:50:19.564,50009356
20:50:19.566,50019664
20:50:19.568,50029872
20:50:19.571,50040080
20:50:19.573,50049784
20:50:19.576,50060808
20:50:19.578,50063452
20:50:19.581,50072476
20:50:19.583,50083132
20:50:19.585,50092124
20:50:19.587,50100476
20:50:19.590,50109692
20:50:19.592,50119548
20:50:19.594,50131196
20:50:19.596,50139092
20:50:19.598,50147156
20:50:19.601,50158324
20:50:19.603,50167284
20:50:19.605,50176408
20:50:19.607,50185560
20:50:19.609,50194072
20:50:19.611,50203416
20:50:19.614,50213496
20:50:19.616,50223428
20:50:19.618,50231620
20:50:19.620,50242916
20:50:19.622,50251516
20:50:19.625,50261908
20:50:19.627,50272084
20:50:19.629,50281076
20:50:19.631,50291692
20:50:19.633,50299544
20:50:19.635,50309176
20:50:19.637,50316184
20:50:19.640,50326224
20:50:19.642,50336976
20:50:19.644,50345904
20:50:19.646,50355728
20:50:19.648,50364528
20:50:19.650,50373252
20:50:19.653,50382820
20:50:19.655,50393188
20:50:19.657,50402816
20:50:19.660,50412912
20:50:19.662,50422224
20:50:19.664,50431952
20:50:19.666,50441224
20:50:19.668,50447720
20:50:19.671,50458396
20:50:19.673,50468556
20:50:19.675,50477836
20:50:19.677,50487948
20:50:19.680,50496364
20:50:19.682,50506972
20:50:19.684,50518204
20:50:19.686,50525756
20:50:19.688,50536028
20:50:19.691,50546876
20:50:19.693,50558388
20:50:19.695,50568308
20:50:19.698,50573764
20:50:19.700,50583616
20:50:19.702,50593760
20:50:19.704,50603680
20:50:19.707,50613112
20:50:19.709,50623768
20:50:19.711,50619288
20:50:19.713,50628568
20:50:19.715,50637892
20:50:19.718,50649516
20:50:19.720,50657644
20:50:19.722,50666508
20:50:19.724,50676196
20:50:19.727,50686356
20:50:19.729,50696940
20:50:19.731,50706444
20:50:19.733,50715756
20:50:19.735,50725192
20:50:19.738,50735080
20:50:19.740,50745792
20:50:19.742,50754272
20:50:19.744,50764944
20:50:19.746,50774736
20:50:19.748,50779780
20:50:19.751,50787716
20:50:19.753,50796684
20:50:19.755,50804908
20:50:19.757,50813796
20:50:19.759,50825044
20:50:19.761,50833132
20:50:19.763,50839604
20:50:19.766,50851652
20:50:19.768,50859464
20:50:19.770,50870340
20:50:19.772,50877964
20:50:19.774,50887372
20:50:19.776,50896772
20:50:19.778,50905316
20:50:19.780,50914116
20:50:19.782,50923036
20:50:19.785,50933588
20:50:19.787,50942420
20:50:19.789,50950764
20:50:19.791,50961452
20:50:19.793,50970180
20:50:19.795,50978148
20:50:19.797,50989308
20:50:19.799,50997160
20:50:19.801,51005884
20:50:19.803,51017116
20:50:19.805,51024732
20:50:19.807,51034988
20:50:19.810,51044772
20:50:19.812,51054116
20:50:19.814,51063324
20:50:19.816,51073940
20:50:19.818,51084716
20:50:19.820,51093580
20:50:19.822,51104204
20:50:19.825,51114116
20:50:19.827,51123460
20:50:19.829,51131908
20:50:19.831,51141540
20:50:19.833,51152756
20:50:19.835,51162484
20:50:19.837,51170900
20:50:19.839,51179408
20:50:19.842,51189576
20:50:19.844,51198280
20:50:19.846,51209120
20:50:19.848,51218208
20:50:19.850,51227352
20:50:19.852,51236248
20:50:19.854,51246840
20:50:19.856,51255872
20:50:19.858,51258776
20:50:19.861,51267704
20:50:19.863,51277840
20:50:19.865,51288912
20:50:19.867,51297836
20:50:19.869,51306052
20:50:19.871,51310652
20:50:19.874,51319636
20:50:19.876,51329428
20:50:19.878,51337720
20:50:19.880,51347512
20:50:19.882,51356880
20:50:19.884,51367024
20:50:19.886,51376656
20:50:19.888,51385072
20:50:19.890,51397048
20:50:19.893,51405272
20:50:19.895,51415096
20:50:19.897,51425400
20:50:19.899,51435804
20:50:19.901,51445452
20:50:19.903,51453676
20:50:19.905,51462812
20:50:19.907,51467172
20:50:19.909,51477904
20:50:19.912,51483124
20:50:19.914,51492320
20:50:19.916,51500000
20:50:19.918,51510936
20:50:19.920,51520568
20:50:19.923,51527888
20:50:19.925,51536800
20:50:19.927,51544672
20:50:19.929,51554464
20:50:19.931,51565400
20:50:19.933,51576268
20:50:19.936,51586220
20:50:19.938,51594348
20:50:19.940,51603332
20:50:19.942,51612356
20:50:19.944,51623276
20:50:19.947,51632812
20:50:19.949,51642756
20:50:19.951,51652768
20:50:19.953,51662080
20:50:19.955,51670240
20:50:19.957,51679736
20:50:19.959,51689176
20:50:19.961,51698200
20:50:19.964,51708912
20:50:19.966,51720140
20:50:19.968,51729420
20:50:19.970,51737548
20:50:19.972,51749892
20:50:19.975,51759236
20:50:19.977,51768508
20:50:19.979,51777596
20:50:19.981,51788116
20:50:19.983,51797044
20:50:19.986,51807316
20:50:19.988,51816820
20:50:19.990,51826956
20:50:19.992,51837164
20:50:19.994,51846916
20:50:19.997,51855816
20:50:19.999,51866944
20:50:20.001,51874592
20:50:20.003,51884504
20:50:20.005,51894776
20:50:20.008,51903960
20:50:20.010,51914096
20:50:20.012,51924304
20:50:20.014,51931632
20:50:20.016,51943960
20:50:20.019,51953016
20:50:20.021,51960920
20:50:20.023,51971760
20:50:20.025,51978580
20:50:20.027,51988012
20:50:20.029,51997004
20:50:20.031,52008772
20:50:20.034,52017340
20:50:20.036,52026844
20:50:20.038,52036700
20:50:20.040,52046484
20:50:20.042,52055380
20:50:20.044,52063924
20:50:20.047,52075892
20:50:20.049,52087204
20:50:20.051,52095748
20:50:20.053,52104820
20:50:20.056,52114676
20:50:20.058,52122464
20:50:20.060,52133688
20:50:20.062,52141912
20:50:20.064,52151736
20:50:20.066,52162864
20:50:20.069,52171848
20:50:20.071,52183680
20:50:20.073,52193016
20:50:20.075,52203568
20:50:20.077,52213520
20:50:20.080,52222256
20:50:20.082,52232648
20:50:20.084,52242696
20:50:20.086,52253440
20:50:20.089,52262020
20:50:20.091,52271668
20:50:20.093,52281460
20:50:20.095,52290068
20:50:20.097,52300788
20:50:20.100,52310516
20:50:20.102,52320268
20:50:20.104,52328268
20:50:20.106,52338908
20:50:20.108,52348604
20:50:20.110,52360692
20:50:20.112,52368308
20:50:20.114,52376372
20:50:20.117,52385052
20:50:20.119,52394108
20:50:20.121,52406268
20:50:20.123,52414332
20:50:20.125,52423964
20:50:20.128,52433364
20:50:20.130,52444084
20:50:20.132,52452920
20:50:20.134,52464336
20:50:20.136,52473096
20:50:20.139,52483624
20:50:20.141,52494776
20:50:20.143,52504280
20:50:20.146,52514520
20:50:20.148,52522832
20:50:20.150,52532464
20:50:20.152,52538112
20:50:20.154,52548184
20:50:20.156,52559280
20:50:20.159,52569200
20:50:20.161,52578952
20:50:20.163,52587592
20:50:20.165,52596104
20:50:20.167,52608592
20:50:20.170,52617320
20:50:20.172,52625440
20:50:20.174,52635512
20:50:20.176,52645688
20:50:20.179,52657200
20:50:20.181,52665488
20:50:20.183,52671204
20:50:20.185,52680772
20:50:20.188,52690404
20:50:20.190,52700676
20:50:20.192,52709732
20:50:20.195,52720932
20:50:20.197,52730308
20:50:20.199,52741020
20:50:20.201,52750204
20:50:20.203,52760852
20:50:20.205,52769524
20:50:20.208,52780748
20:50:20.210,52785948
20:50:20.212,52795788
20:50:20.214,52805516
20:50:20.217,52814348
20:50:20.219,52825860
20:50:20.221,52834840
20:50:20.223,52844824
20:50:20.226,52856112
20:50:20.228,52865900
20:50:20.230,52875204
20:50:20.232,52884228
20:50:20.234,52892924
20:50:20.236,52894980
20:50:20.239,52903484
20:50:20.241,52912892
20:50:20.243,52923228
20:50:20.245,52932884
20:50:20.247,52942428
20:50:20.249,52951420
20:50:20.252,52960820
20:50:20.254,52967988
20:50:20.256,52978900
20:50:20.258,52988548
20:50:20.260,52997508
20:50:20.262,53007484
20:50:20.264,53016860
20:50:20.266,53025948
20:50:20.269,53035540
20:50:20.271,53044916
20:50:20.273,53056848
20:50:20.275,53067120
20:50:20.278,53074736
20:50:20.280,53085808
20:50:20.282,53095536
20:50:20.284,53103728
20:50:20.286,53116384
20:50:20.289,53125424
20:50:20.291,53134920
20:50:20.293,53143176
20:50:20.296,53155200
20:50:20.298,53163716
20:50:20.300,53173284
20:50:20.302,53183832
20:50:20.305,53194168
20:50:20.307,53202804
20:50:20.309,53213108
20:50:20.311,53222796
20:50:20.313,53231884
20:50:20.315,53240268
20:50:20.317,53250372
20:50:20.319,53259044
20:50:20.322,53270492
20:50:20.324,53279268
20:50:20.326,53288740
20:50:20.328,53299964
20:50:20.331,53308860
20:50:20.333,53315108
20:50:20.335,53323884
20:50:20.337,53335868
20:50:20.340,53344732
20:50:20.342,53353588
20:50:20.344,53363796
20:50:20.346,53373228
20:50:20.349,53383500
20:50:20.351,53392452
20:50:20.353,53403684
20:50:20.355,53413212
20:50:20.358,53422364
20:50:20.360,53432316
20:50:20.362,53442516
20:50:20.364,53452212
20:50:20.366,53460920
20:50:20.369,53473488
20:50:20.371,53481424
20:50:20.373,53493152
20:50:20.375,53500000
20:50:20.377,53509312
20:50:20.380,53518288
20:50:20.382,53528656
20:50:20.384,53536160
20:50:20.386,53546464
20:50:20.388,53554936
20:50:20.390,53565816
20:50:20.393,53576208
20:50:20.395,53584632
20:50:20.397,53594472
20:50:20.400,53604136
20:50:20.402,53612808
20:50:20.404,53623832
20:50:20.406,53633424
20:50:20.409,53642896
20:50:20.411,53653640
20:50:20.413,53663808
20:50:20.415,53673408
20:50:20.418,53682368
20:50:20.420,53694680
20:50:20.422,53704056
20:50:20.424,53713176
20:50:20.427,53723024
20:50:20.429,53733232
20:50:20.431,53743016
20:50:20.433,53753608
20:50:20.435,53764352
20:50:20.438,53772960
20:50:20.440,53782412
20:50:20.442,53792684
20:50:20.444,53802308
20:50:20.446,53811588
20:50:20.449,53819036
20:50:20.451,53829776
20:50:20.453,53839720
20:50:20.455,53848744
20:50:20.457,53860060
20:50:20.460,53870204
20:50:20.462,53878524
20:50:20.464,53888692
20:50:20.466,53897140
20:50:20.468,53908372
20:50:20.470,53915348
20:50:20.473,53925236
20:50:20.475,53934644
20:50:20.477,53944368
20:50:20.479,53954672
20:50:20.482,53965920
20:50:20.484,53975968
20:50:20.486,53983904
20:50:20.488,53993536
20:50:20.490,54004248
20:50:20.493,54013016
20:50:20.495,54023440
20:50:20.497,54031952
20:50:20.499,54042536
20:50:20.502,54052072
20:50:20.504,54064064
20:50:20.506,54073568
20:50:20.508,54082200
20:50:20.510,54092504
20:50:20.512,54104720
20:50:20.515,54113452
20:50:20.517,54121612
20:50:20.519,54132580
20:50:20.521,54141284
20:50:20.523,54150396
20:50:20.526,54155248
20:50:20.528,54165712
20:50:20.530,54177104
20:50:20.533,54183312
20:50:20.535,54194000
20:50:20.537,54203208
20:50:20.539,54212488
20:50:20.541,54219200
20:50:20.543,54228352
20:50:20.546,54239636
20:50:20.548,54248596
20:50:20.550,54259888
20:50:20.552,54268656
20:50:20.555,54278152
20:50:20.557,54288884
20:50:20.559,54298884
20:50:20.561,54307652
20:50:20.563,54318084
20:50:20.565,54328220
20:50:20.568,54337472
20:50:20.570,54347672
20:50:20.572,54358968
20:50:20.574,54367664
20:50:20.577,54376400
20:50:20.579,54385592
20:50:20.581,54394228
20:50:20.583,54403756
20:50:20.585,54412748
20:50:20.587,54423464
20:50:20.590,54434984
20:50:20.592,54444480
20:50:20.594,54453056
20:50:20.596,54462456
20:50:20.598,54471576
20:50:20.601,54481176
20:50:20.603,54491448
20:50:20.605,54502736
20:50:20.607,54511504
20:50:20.609,54521104
20:50:20.612,54529224
20:50:20.614,54539624
20:50:20.616,54551360
20:50:20.618,54559456
20:50:20.620,54568376
20:50:20.622,54579800
20:50:20.625,54590384
20:50:20.627,54600496
20:50:20.629,54608032
20:50:20.632,54618400
20:50:20.634,54630288
20:50:20.636,54638544
20:50:20.638,54649584
20:50:20.641,54658736
20:50:20.643,54669384
20:50:20.645,54678664
20:50:20.647,54687784
20:50:20.649,54697740
20:50:20.652,54709124
20:50:20.654,54717892
20:50:20.656,54730112
20:50:20.658,54739200
20:50:20.660,54749112
20:50:20.663,54760088
20:50:20.665,54768472
20:50:20.667,54779536
20:50:20.670,54788304
20:50:20.672,54800104
20:50:20.674,54808520
20:50:20.676,54819648
20:50:20.679,54828704
20:50:20.681,54839008
20:50:20.683,54847680
20:50:20.685,54856812
20:50:20.688,54864720
20:50:20.690,54875560
20:50:20.692,54884040
20:50:20.694,54893608
20:50:20.696,54902760
20:50:20.698,54911456
20:50:20.701,54921088
20:50:20.703,54932320
20:50:20.705,54942672
20:50:20.708,54952400
20:50:20.710,54962512
20:50:20.712,54973160
20:50:20.714,54981920
20:50:20.716,54993728
20:50:20.719,55003192
20:50:20.721,55011128
20:50:20.723,55019076
20:50:20.725,55027716
20:50:20.727,55038012
20:50:20.729,55047132
20:50:20.732,55056628
20:50:20.734,55066484
20:50:20.736,55074524
20:50:20.738,55084288
20:50:20.741,55094136
20:50:20.743,55102712
20:50:20.745,55110380
20:50:20.747,55119464
20:50:20.749,55128776
20:50:20.751,55138592
20:50:20.754,55147940
20:50:20.756,55157780
20:50:20.758,55167348
20:50:20.760,55177260
20:50:20.762,55186756
20:50:20.765,55197188
20:50:20.767,55207732
20:50:20.769,55218764
20:50:20.772,55228236
20:50:20.774,55235964
20:50:20.776,55245628
20:50:20.778,55255516
20:50:20.780,55266472
20:50:20.783,55276968
20:50:20.785,55286968
20:50:20.787,55297832
20:50:20.789,55306664
20:50:20.792,55317564
20:50:20.794,55329788
20:50:20.796,55337948
20:50:20.799,55347764
20:50:20.801,55358636
20:50:20.803,55369068
20:50:20.805,55378852
20:50:20.808,55388932
20:50:20.810,55399812
20:50:20.812,55409568
20:50:20.815,55419072
20:50:20.817,55426632
20:50:20.819,55436596
20:50:20.821,55447756
20:50:20.823,55454948
20:50:20.825,55465156
20:50:20.828,55474148
20:50:20.830,55483068
20:50:20.832,55492708
20:50:20.834,55502492
20:50:20.836,55512284
20:50:20.838,55521844
20:50:20.840,55529972
20:50:20.842,55538676
20:50:20.845,55549580
20:50:20.847,55558668
20:50:20.849,55569388
20:50:20.851,55578496
20:50:20.854,55589208
20:50:20.856,55598256
20:50:20.858,55607248
20:50:20.860,55618736
20:50:20.862,55626412
20:50:20.864,55637676
20:50:20.866,55645768
20:50:20.869,55655464
20:50:20.871,55664168
20:50:20.873,55673188
20:50:20.875,55682948
20:50:20.877,55691972
20:50:20.880,55701120
20:50:20.882,55708800
20:50:20.884,55719036
20:50:20.886,55727516
20:50:20.888,55735932
20:50:20.891,55745592
20:50:20.893,55749856
20:50:20.895,55758796
20:50:20.897,55769996
20:50:20.899,55778276
20:50:20.902,55787940
20:50:20.904,55799164
20:50:20.906,55808236
20:50:20.908,55817676
20:50:20.911,55828652
20:50:20.913,55837796
20:50:20.915,55848840
20:50:20.918,55859456
20:50:20.920,55866784
20:50:20.922,55875596
20:50:20.924,55884420
20:50:20.927,55893724
20:50:20.929,55902076
20:50:20.931,55912996
20:50:20.934,55921948
20:50:20.936,55931868
20:50:20.938,55942140
20:50:20.940,55950748
20:50:20.943,55961420
20:50:20.945,55968792
20:50:20.947,55977936
20:50:20.949,55988944
20:50:20.951,55997712
20:50:20.953,56007664
20:50:20.956,56017448
20:50:20.958,56026536
20:50:20.960,56034100
20:50:20.962,56041940
20:50:20.964,56050348
20:50:20.966,56060300
20:50:20.969,56070244
20:50:20.971,56079524
20:50:20.973,56088740
20:50:20.975,56098148
20:50:20.977,56108732
20:50:20.979,56117724
20:50:20.982,56127540
20:50:20.984,56138724
20:50:20.986,56149192
20:50:20.988,56158376
20:50:20.990,56167176
20:50:20.992,56176160
20:50:20.995,56183400
20:50:20.997,56194432
20:50:20.999,56202816
20:50:21.001,56213656
20:50:21.003,56221208
20:50:21.005,56230988
20:50:21.008,56240844
20:50:21.010,56250640
20:50:21.012,56258896
20:50:21.014,56266888
20:50:21.016,56276204
20:50:21.019,56286020
20:50:21.021,56296708
20:50:21.023,56305444
20:50:21.025,56314732
20:50:21.027,56321836
20:50:21.029,56333956
20:50:21.031,56342436
20:50:21.034,56351900
20:50:21.036,56361528
20:50:21.038,56373136
20:50:21.040,56382472
20:50:21.042,56390024
20:50:21.044,56399024
20:50:21.046,56408284
20:50:21.048,56418140
20:50:21.051,56426804
20:50:21.053,56438100
20:50:21.055,56443244
20:50:21.058,56453284
20:50:21.060,56463164
20:50:21.062,56473724
20:50:21.064,56480476
20:50:21.066,56493140
20:50:21.069,56501452
20:50:21.071,56510612
20:50:21.073,56520692
20:50:21.075,56531876
20:50:21.077,56540004
20:50:21.079,56549756
20:50:21.081,56559076
20:50:21.084,56568860
20:50:21.086,56578140
20:50:21.088,56588628
20:50:21.091,56598964
20:50:21.093,56607220
20:50:21.095,56618340
20:50:21.097,56626020
20:50:21.099,56634740
20:50:21.101,56644876
20:50:21.104,56654668
20:50:21.106,56665892
20:50:21.108,56675524
20:50:21.110,56685372
20:50:21.113,56696540
20:50:21.115,56706300
20:50:21.117,56717812
20:50:21.119,56726960
20:50:21.121,56735576
20:50:21.124,56744088
20:50:21.126,56744272
20:50:21.128,56742732
20:50:21.130,56742220
20:50:21.133,56739660
20:50:21.135,56739544
20:50:21.137,56737244
20:50:21.139,56731612
20:50:21.141,56723508
20:50:21.144,56721964
20:50:21.146,56720176
20:50:21.148,56717680
20:50:21.150,56715632
20:50:21.153,56714088
20:50:21.155,56712040
20:50:21.157,56710496
20:50:21.159,56709472
20:50:21.161,56707928
20:50:21.164,56699636
20:50:21.166,56697588
20:50:21.168,56696044
20:50:21.170,56694060
20:50:21.172,56692452
20:50:21.174,56691428
20:50:21.176,56689884
20:50:21.178,56687836
20:50:21.180,56685788
20:50:21.183,56683740
20:50:21.185,56682196
20:50:21.187,56680148
20:50:21.189,56679628
